País ;Universidad ;Ciudad ;Sitio Web ;Carreras ;Inicio y Fin de Semestres;Fechas de Nominación;Observaciones ;Requisitos Generales y Específicos ;Cupos ;Idiomas ;Costos estimados 
Costa Rica ;Universidad de Costa Rica ;;https://www.ucr.ac.cr/;;Primer ciclo: febrero a junio / Segundo ciclo: agosto a diciembre;Pendiente ;Estudiante paga matrícula en UVG y no en UCR.;;;;
Estados Unidos ;University of Wyoming ;;https://www.uwyo.edu/uwyoabroad/incoming-students/;;"Otoño: ago - dic
Primavera: ene - may";"Otoño (2026): 15 marzo
Primavera (2027): 15 octubre";;;;;Exención de tuition (Home Payment B), Cuota de solicitud ($50) , Cuota para estudiantes de intercambio ($75). Si tomas un curso en línea, se te cobrará una cuota de $14 por crédito ($42 por un curso de 3 créditos). Eres responsable del pago de esta cuota. 
Panamá;Universidad Tecnológica de Panamá;;https://www.utp.ac.pa;;Pendiente;Pendiente ;Fecha establecida en convenio. Cupo reducido de 1 o 2 estudiantes. Pendiente confirmar modalidad de intercambio activa para 2026.;;;;
Taiwán;Universidad Tecnológica de Taipei (NTUT);;https://www.ntut.edu.tw;;"Otoño: sept - dic
Semestre único: primavera (feb - jun)";Pendiente;La página oficial no tiene fechas claras para 2026-2027. Se requiere contactar a la oficina internacional para confirmar plazos de nominación (presuntamente abril para otoño, octubre para primavera).;;;;
España;Universidad de Granada;;https://www.ugr.es;;Pendiente;"Curso completo/Primer semestre: 1 abril - 20 may
Segundo semestre: 1 - 31 octubre";Convenio permite exención de matrícula para el estudiante de intercambio. Fecha límite de aplicación UVG en el documento: 8 abril / 20 septiembre. Cupo no especificado.;;;;
España;Universidad de La Laguna;;https://www.ull.es;;Pendiente;"1r sem/año completo: 15 jun (nominación) y 30 jun (aplicación)
2do sem: 15 oct (nomin.) y 31 oct (aplic.)";El estudiante no paga tasas de matrícula en la universidad de destino. Fecha límite UVG (doc 2021): 4 mayo / 3 septiembre. La universidad cuenta con un programa de movilidad y Erasmus+ activo para 2026-2027. Los estudiantes de la ULL ya pueden postular. Costo de alojamiento en colegio mayor: 270 - 750 EUR por mes. La opción más económica incluye servicios y debe consultarse directamente con la universidad. ;;;;
España;Universidad Miguel Hernández de Elche;;https://www.umh.es;;Pendiente;Pendiente;Costo de alojamiento estimado: 250 - 400 EUR por mes.;;;;
Italia;University of Rome Tor Vergata;;https://web.uniroma2.it;;"1er sem: sept - ene
2do sem: feb - jun";Para intercambio: 30 junio (1er sem) y 30 nov (2do sem);Matrícula exenta por convenio (sin tasas de tuition) . El estudiante debe pagar primer plazo de matrícula (€156)  y un seguro de salud privado obligatorio. Idioma: italiano preferido, pero hay cursos en inglés . La oficina envía carta de invitación para la visa;;;;
Ecuador;Universidad del Azuay;;https://www.uazuay.edu.ec;;Pendiente;Pendiente;;;;; Costo de alojamiento estimado: 250 - 400 USD por mes.
Francia;Université Sorbonne Nouvelle - Paris 3;;https://www.sorbonne-nouvelle.fr;;Primer semestre: septiembre a enero / Segundo semestre: enero a junio;Postulación directa;;;;; Costo de alojamiento estimado: 700 - 1,200 EUR por mes. Corresponde al costo de vida en París.
El Salvador;Instituto Kriete de Ingeniería y Ciencias;;https://www.kriete.edu.sv;;Pendiente;Pendiente;;;;;Costo de alojamiento estimado: 300 - 500 USD por mes. Corresponde al costo de vida en El Salvador. 
Francia;Université de technologie de Troyes;;https://www.utt.fr;;Primer semestre: septiembre a enero / Segundo semestre: febrero a junio;Postulación directa;;;;;Universidad enfocada en ingeniería. Costo de alojamiento estimado: 300 - 500 EUR por mes.
Panamá;Universidad Tecnológica de Panamá;;https://www.utp.ac.pa;;Pendiente;Pendiente;;;;;Costo de alojamiento estimado: 300 - 500 USD por mes.
Noruega ;Movilidad estudiantil ;;;;;;;;;;
