País;Universidad;Ciudad;Sitio Web;Carreras;Inicio y Fin de Semestres;Fechas de Nominación;Observaciones (Solo excepciones);Requisitos Generales y Específicos;Cupos;Idiomas;Costos estimados
España;Universidad Europea;Madrid, España;https://universidadeuropea.com/en/study-ue/study-abroad/;Todas las facultades;Semestre 1: Sep-Ene / Semestre 2: Feb-Jun;Pendiente;Se paga por crédito: 166€ / ECTS. Al regresar a UVG se paga 50% del curso a convalidar.;Certificado de idioma obligatorio solo para Medicina y Odontología.;Sin límite específico;Recomendado verificar nivel de inglés o español.;166€ / ECTS
Colombia;Universidad del Rosario;Bogotá, Colombia;https://www.urosario.edu.co/;Pregrado y posgrado;1er Semestre: Jul-Nov / 2do Semestre: Ene-May;Nominación: 15 Oct (1er Sem) / 15 Abr (2do Sem). Aplicación: 30 Oct (1er Sem) / 30 Abr (2do Sem).;Sin intercambio de tuition. Estudiante cubre alojamiento, transporte, seguro, visado.;Ninguno específico en el documento.;4 (2 por semestre);Español nativo.;Información no disponible en el documento.
Alemania;Universität Würzburg (JMU);Wurzburgo, Alemania;https://www.uni-wuerzburg.de/en/international/;Todas las facultades;Otoño: Oct-Feb / Primavera: Abr-Jul;UVG?JMU: 30 Abr (Otoño) / 30 Nov (Primavera). JMU?UVG: 15 May (Otoño) / 15 Oct (Primavera).;Intercambio sin pago de tuition. Paga contribución estudiantil, transporte, seguro, alojamiento. Máx. 3 semestres.;Certificado de matrícula UVG, certificado de cursos aprobados.;Sin límite específico;Alemán B1 o inglés.;Información no disponible en el documento.
EE. UU.;University of Houston;Houston, EE. UU.;https://uh.edu/;Todas las facultades;Pendiente;Acordar antes del 15 de marzo del año previo.;Intercambio recíproco. Sin pago de tuition en anfitriona. Cupo: 3 estudiantes/año (máx. 3/semestre).;Ninguno específico en el documento.;3 por año;Inglés: TOEFL 79 o IELTS 6.5.;Información no disponible en el documento.
Japón;Universidad de Komatsu;Komatsu, Japón;https://www.komatsu-u.ac.jp/en/;Prácticas académicas;Pendiente;Pendiente;Prácticas (internships) máx. 10 meses. Ayuda con visa y alojamiento. Puede tener o no remuneración.;Seguro institucional obligatorio.;Sin límite específico;Japonés o inglés (verificar).;Información no disponible en el documento.
EE. UU.;Central Michigan University (Disney);Mount Pleasant, EE. UU.;https://www.cmich.edu/ / https://disneyprograms.com/;Recreación, turismo, hospitalidad;1 o 2 semestres (12 créditos/semestre en RPL 321);Nominación UVG, selección final por Disney (Visado J-1).;Disney ofrece compensación económica.;Costos: matrícula CMU (tarifa especial) y application fee.;Sin límite específico;Inglés (verificar TOEFL/IELTS).;Tarifa especial CMU + application fee.
España;Univ. Castilla-La Mancha;Castilla-La Mancha, España;https://www.uclm.es/internacional;Todas las facultades;Pendiente;Pendiente;Convenio marco + anexo de intercambio. Sin pago de matrícula en destino.;Ninguno específico en el documento.;4 al año (2 por semestre);Español nativo.;Información no disponible en el documento.
Alemania;TU Dresden;Dresde, Alemania;https://tu-dresden.de/;Ingeniería Civil;Invierno: 1 Oct-31 Mar / Primavera: 1 Abr-30 Sep;UVG?TU Dresden: 30 Jun (Inv) / 15 Ene (Prim). TU Dresden?UVG: 15 May (Inv) / 15 Oct (Prim).;Erasmus+ KA171 - Movilidad activa.;Ser estudiante de Ingeniería Civil.;1;Inglés B1 (estudiantes) / B2 (profesores).;Información no disponible en el documento.
Colombia;Universidad de Manizales;Manizales, Colombia;https://www.umanizales.edu.co/;Todas las facultades;Pendiente;Pendiente;Convenio marco firmado (12/5/01). Incluye investigación, desarrollo, innovación. Pendiente confirmar vigencia, costos y detalles de aplicación.;Ser estudiante o docente de UVG.;2;Español nativo.;Información no disponible en el documento.
Canadá;UQTR;Trois-Rivières, Canadá;https://www.uqtr.ca/index.shtml;Todas las facultades;Pendiente;Otoño: nom 1 Ene-10 Mar, apl 15 Feb-31 Mar. Invierno: nom 1 Jun-15 Sep, apl 15 Jul-20 Sep.;Idioma de instrucción francés. Estudiante paga matrícula, seguro, alojamiento, manutención y tasas.;Acta de nacimiento (con nombres de padres), pasaporte, notas preuniversitarias, diplomas preuniversitarios, notas universitarias (todos), CV con foto, carta de motivación.;2;Francés (DALF/DELF o carta UVG).;Depende del número de créditos.
EE. UU.;Emporia State University;Emporia, EE. UU.;https://www.emporia.edu/;Todas las facultades;Pendiente;Otoño: 1 May / Primavera: 1 Oct / Verano: 1 Mar;El estudiante asume matrícula (out-of-state), seguro, alojamiento, comida.;Aplica para programas de intercambio.;2;Inglés (verificar TOEFL/IELTS).;Información no disponible en el documento.
Japón;Kanazawa University;Kanazawa, Japón;https://www.kanazawa-u.ac.jp/en/;Todas las facultades;Pendiente;Otoño: 1 Mar / Primavera: 1 Oct;Exención de matrícula por convenio.;Estudiante paga alojamiento, seguro nacional, comida, transporte.;1 o 2;Japonés o inglés.;Información no disponible en el documento.
Japón;Nagoya University;Nagoya, Japón;https://en.nagoya-u.ac.jp;Ingeniería y Ciencias Sociales;Otoño: Sep-Ene / Primavera: Feb-Jun;Nominación Cierre: Otoño: 1-15 Abr / Primavera: 1-15 Oct;Programa de Maestría en inglés. Exención de matrícula para becarios MEXT. Contactar supervisor ANTES de aplicar. Postulación directa del estudiante.;Certificados: Título, notas universitarias, pasaporte. Específicos: Contactar supervisor (especialmente Ingeniería).;1 o 2;Inglés: IELTS 6.0 / TOEFL 80 / Duolingo 110 / CEFR C1. Exención: si licenciatura fue en inglés.;Cuota aplicación: ¥5,000. Cuota registro: ¥282,000. Matrícula anual: ¥535,800. Seguro (2 años): ¥1,750-2,430.
España;Univ. del País Vasco;País Vasco, España;https://www.ehu.eus/es/web/nazioarteko-harremanak;Todas las facultades;Pendiente;Otoño: 15 Jun / Primavera: 15 Nov;Convenio de movilidad (2016). Sin pago de tasas académicas.;Ninguno específico en el documento.;4;Español nativo o euskera.;Información no disponible en el documento.
