País;Universidad;Ciudad;Sitio Web;Carreras;Inicio y Fin de Semestres;Fechas de Nominación;Observaciones;Requisitos Generales y Específicos;Cupos;Idiomas;Costos estimados;
Costa Rica;Universidad de Costa Rica;San José, Costa Rica;https://www.ucr.ac.cr/;Todas las facultades;Primer ciclo: feb-jun / Segundo ciclo: ago-dic;Pendiente;Estudiante paga matrícula en UVG y no en UCR.;Haber completado al menos un año de estudios.;2 estudiantes pregrado o posgrado ;Español nativo.; Costo de vida estimado mensual: 600?600?900 USD.;
Estados Unidos;University of Wyoming;Laramie, EE. UU.;https://www.uwyo.edu/uwyoabroad/incoming-students/;Múltiples (Artes, Negocios, Educación, Ingeniería, Ciencias) ;Otoño: ago-dic / Primavera: ene-may;Otoño (2026): 15 marzo / Primavera (2027): 15 octubre;—;"Específico: Ser nominado por UVG. Aplicar como ""estudiante de intercambio"". General: Pasaporte válido, seguro médico .";4;Inglés (se recomienda TOEFL/IELTS, nivel no especificado).;Pendiente ;
Panamá;Universidad Tecnológica de Panamá;Ciudad de Panamá, Panamá;https://www.utp.ac.pa;Ingenierías y tecnologías;Pendiente;Pendiente;Fecha y cupos sujetos a convenio activo 2026. Pendiente confirmar.;Ser nominado por UVG.;1 o 2;Español nativo.;Costo de vida estimado mensual: 600?600?1,000 USD.;
Taiwán;National Taipei Univ. of Technology;Taipéi, Taiwán;https://www.ntut.edu.tw;Ingeniería, Tecnología, Diseño;Otoño: sept-dic / Primavera: feb-jun;Pendiente (contactar a la universidad);Sin información de fechas 2026 en página oficial.;"Postular como ""estudiante visitante"". Pasaporte vigente.";5;Inglés (se recomienda TOEFL/IELTS) o Chino.;Exención de matrícula por convenio. Costo de vida mensual estimado en Taipéi: 800?800?1,200 USD.;
España;Universidad de Granada;Granada, España;https://www.ugr.es;Todas las facultades ;Pendiente;Curso completo/Primer semestre: 1 abril-20 may / Segundo semestre: 1-31 octubre;Convenio permite exención de matrícula.;Específico: No especificados en el documento de 2021. General: Ser estudiante activo UVG.;4;Recomendado español B2.;Sin pago de matrícula por convenio. Costo de vida mensual estimado: €700-1,000.;
España;Univ. de La Laguna;San Cristóbal de La Laguna, España;https://www.ull.es;Humanidades, Ciencias, Salud, Ingenierías, Sociales ;Pendiente;Nominación: 15 jun (1r sem/año completo) / 15 oct (2do sem). Aplicación: 30 jun (1r sem/año completo) / 31 oct (2do sem).;Convenio permite exención de matrícula.;Pendiente ;4;Recomendado español B2.;Sin pago de matrícula por convenio. Costo de alojamiento colegio mayor: €270-750/mes. Costo de vida (excluyendo colegio mayor): €400-600/mes.;
España;Univ. Miguel Hernández;Elche, España;https://www.umh.es;Múltiples áreas (Ciencias Sociales, Experimentales, Salud, Ingenierías);Pendiente;Pendiente;Costos calculados en base a alojamiento. Pendiente confirmar si hay exención de matrícula.;Pendiente;4;Recomendado español B2.;Información de matrícula no disponible. Costo de alojamiento mensual estimado: €250-400.;
Italia;Univ. of Rome Tor Vergata;Roma, Italia;https://web.uniroma2.it;Economía, Derecho, Ingeniería, Medicina, Ciencias ;1er sem: sept-ene / 2do sem: feb-jun;"Para intercambio: 30 junio (1er sem); 30 nov (2do sem)";Matrícula exenta por convenio.;General: Ser estudiante activo UVG. Idioma: Pueden exigir nivel B2 de italiano o inglés según los cursos .;5;Italiano (preferido) o inglés (B2).;Matrícula: Exenta. Primer plazo matrícula regional: €156. Seguro de salud privado: €150. Costo vida mensual: €800-1,200.;
Ecuador;Universidad del Azuay;Cuenca, Ecuador;https://www.uazuay.edu.ec;Arquitectura, Diseño, Artes, Ingenierías, Ciencias Sociales, Salud ;Pendiente;Pendiente;—;Pendiente ;Pendiente ;Español nativo.;Información de matrícula no disponible en página oficial. Costo de alojamiento mensual estimado: 250?250?400 USD .;
Francia;Université Sorbonne Nouvelle;París, Francia;https://www.sorbonne-nouvelle.fr;Artes, Letras, Lenguas, Ciencias Humanas y Sociales;1er sem: sept-ene / 2do sem: ene-jun;Postulación directa;"No hay convenio de intercambio. Estudiante postula como ""visitante"".";Postulación directa del estudiante. Competitivo.;Pendiente ;Francés (nivel B2/C1 requerido).;Matrícula universidades públicas francesas: bajo costo (aprox. €200-400/año). Seguro: €200/año. Costo vida mensual París: €1,000-€1,500.;
El Salvador;Instituto Kriete;San Salvador, El Salvador;https://www.kriete.edu.sv;Ingeniería y Ciencias;Pendiente;Pendiente;No hay convenio. El estudiante debe gestionar su admisión como visitante.;Ser nominado por UVG. Aplicar a programa de movilidad.;1 o 2;Español nativo.; Costo de alojamiento mensual estimado: 300?500 USD.;
Francia;Univ. de Technologie de Troyes;Troyes, Francia;https://www.utt.fr;Ingeniería, Tecnología;1er sem: sept-ene / 2do sem: feb-jun;Postulación directa;No hay convenio de intercambio.;Universidad enfocada en ingeniería.;Pendiente ;Francés (nivel B2).;Matrícula para estudiantes internacionales: aprox. €3,000-€5,000/año. Costo vida mensual: €600-€800(costo de vida más bajo que París).;
